🔍 Starting detailed monitoring of NimbleEdgeAssistant...
An error was encountered processing the command (domain=NSPOSIXErrorDomain, code=2):
The operation couldn’t be completed. No such file or directory
No such file or directory
📱 App Process ID: 
⏰ Started at: Fri Aug  1 14:19:09 IST 2025
2025-08-01 14:19:48.222456+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:AppLifecycle] sceneOfRecord: sceneID: sceneID:ai.delite.NimbleEdgeAssistant-default  persistentID: 9910A2A3-10AA-4FB3-BE4A-706B2BCD407A
2025-08-01 14:19:48.223307+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.KeyboardArbiter:Client] handleKeyboardChange: set currentKeyboard:N (wasKeyboard:N)
2025-08-01 14:19:48.223350+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:KeyboardSceneDelegate] forceReloadInputViews
2025-08-01 14:19:48.223377+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:KeyboardSceneDelegate] Reloading input views for: <(null): 0x0; > force: 1
2025-08-01 14:19:48.223756+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:KeyboardArbiterClientLog] isWritingToolsHandlingKeyboardTracking:Y (WT ready:Y, Arbiter ready:Y)
2025-08-01 14:19:48.225891+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:AppLifecycle] sceneOfRecord: sceneID: sceneID:ai.delite.NimbleEdgeAssistant-default  persistentID: 9910A2A3-10AA-4FB3-BE4A-706B2BCD407A
2025-08-01 14:19:48.225933+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Scene did update interface style to 1, <UIWindowScene: 0x105308650> (9910A2A3-10AA-4FB3-BE4A-706B2BCD407A)
2025-08-01 14:19:48.226018+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Push traits update to screen for new style 1, <UIWindowScene: 0x105308650> (9910A2A3-10AA-4FB3-BE4A-706B2BCD407A)
2025-08-01 14:19:48.260802+0530  localhost NimbleEdgeAssistant[58564]: (Network) [com.apple.network:activity] <nw_activity 50:1 [82B52FB6-EE9C-4ECC-86BE-B2A3C6E7E57F] (global parent) (reporting strategy default) complete (reason success)> complete with reason 2 (success), duration 1459ms
2025-08-01 14:19:48.260848+0530  localhost NimbleEdgeAssistant[58564]: (Network) [com.apple.network:activity] <nw_activity 50:2 [4B2D93C0-95A7-41D7-A67E-F5AF66D1C5FB] (reporting strategy default) complete (reason success)> complete with reason 2 (success), duration 1459ms
2025-08-01 14:19:48.260864+0530  localhost NimbleEdgeAssistant[58564]: (Network) [com.apple.network:activity] Unsetting the global parent activity <nw_activity 50:1 [82B52FB6-EE9C-4ECC-86BE-B2A3C6E7E57F] (global parent) (reporting strategy default) complete (reason success)>
2025-08-01 14:19:48.260872+0530  localhost NimbleEdgeAssistant[58564]: (Network) [com.apple.network:activity] Unset the global parent activity
2025-08-01 14:19:48.321809+0530  localhost NimbleEdgeAssistant[58564]: (RunningBoardServices) Created Activity ID: 0x68ee5c, Description: didChangeInheritances
2025-08-01 14:19:48.478181+0530  localhost NimbleEdgeAssistant[58564]: (libsystem_trace.dylib) Created Activity ID: 0x68ee5d, Description: Activity for state dumps
2025-08-01 14:19:48.478175+0530  localhost NimbleEdgeAssistant[58564]: (libRPAC.dylib) [com.apple.runtime-issues:Slow Launch Risk] __delegate_identifier__:Performance Diagnostics__:::____message__:{"message":"Performing I/O on the main thread can cause slow launches.","antipattern trigger":"dlopen","message type":"suppressable","issue type":4,"category type":17,"subcategory type":3,"show in console":"0"}'7B 66 98 7F 22 55 39 00 B2 B0 CD 30 42 44 29 81 BC 59 75 00 7B 66 98 7F 22 55 39 00 B2 B0 CD 30 42 44 29 81 DC 39 75 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 58 9D D7 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 58 00 36 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 58 F3 35 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 6C 3E 27 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 24 59 27 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 B0 AD 29 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 D4 04 E6 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 94 07 E6 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 28 1A 92 00 67 C1 1D 5C 29 7E 3F FC B1 69 D4 1F 83 6E 94 62 3C F0 00 00 67 C1 1D 5C 29 7E 3F FC B1 69 D4 1F 83 6E 94 62 FC F3 00 00 67 C1 1D 5C 29 7E 3F FC B1 69 D4 1F 83 6E 94 62 BC EE 00 00 67 C1 1D 5C 29 7E 3F FC B1 69 D4 1F 83 6E 94 62 18 63 03 00 67 C1 1D 5C 29 7E 3F FC B1 69 D4 1F 83 6E 94 62 18 AC 01 00 67 C1 1D 5C 29 7E 3F FC B1 69 D4 1F 83 6E 94 62 44 49 03 00 4C 03 83 BC BE BA 3A 34 AB D3 AC 10 21 F9 69 04 98 D7 01 00 4C 03 83 BC BE BA 3A 34 AB D3 AC 10 21 F9 69 04 0C 7D 00 00 67 C1 1D 5C 29 7E 3F FC B1 69 D4 1F 83 6E 94 62 B8 1F 05 00 67 C1 1D 5C 29 7E 3F FC B1 69 D4 1F 83 6E 94 62 94 1E 05 00 67 C1 1D 5C 29 7E 3F FC B1 69 D4 1F 83 6E 94 62 AC D2 07 00 16 31 B8 D4 4C 02 35 C3 83 72 30 DB CE 4C 86 A9 14 32 09 00 16 31 B8 D4 4C 02 35 C3 83 72 30 DB CE 4C 86 A9 5C 31 09 00 16 31 B8 D4 4C 02 35 C3 83 72 30 DB CE 4C 86 A9 40 29 09 00 16 31 B8 D4 4C 02 35 C3 83 72 30 DB CE 4C 86 A9 E0 D2 08 00 16 31 B8 D4 4C 02 35 C3 83 72 30 DB CE 4C 86 A9 98 CB 08 00 A7 4F 51 A4 6C CE 30 B3 A5 91 5B E1 9C 8A F7 40 00 2D 00 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 B8 EB E5 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 84 2F E6 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 6C A6 85 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 A0 A3 85 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 C4 5D 5E 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 A4 33 02 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 50 34 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00'
2025-08-01 14:19:48.714812+0530  localhost NimbleEdgeAssistant[58564]: (libsystem_trace.dylib) Created Activity ID: 0x68ee5e, Description: Activity for state dumps
2025-08-01 14:19:48.714806+0530  localhost NimbleEdgeAssistant[58564]: (libRPAC.dylib) [com.apple.runtime-issues:Slow Launch Risk] __delegate_identifier__:Performance Diagnostics__:::____message__:{"message":"Performing I/O on the main thread can cause slow launches.","antipattern trigger":"dlopen","message type":"suppressable","issue type":4,"category type":17,"subcategory type":3,"show in console":"0"}'7B 66 98 7F 22 55 39 00 B2 B0 CD 30 42 44 29 81 28 6B 6A 00 4C 03 83 BC BE BA 3A 34 AB D3 AC 10 21 F9 69 04 98 D7 01 00 4C 03 83 BC BE BA 3A 34 AB D3 AC 10 21 F9 69 04 00 6D 00 00 7B 66 98 7F 22 55 39 00 B2 B0 CD 30 42 44 29 81 5C 71 72 00 7B 66 98 7F 22 55 39 00 B2 B0 CD 30 42 44 29 81 18 EF 59 00 7B 66 98 7F 22 55 39 00 B2 B0 CD 30 42 44 29 81 48 93 27 00 7B 66 98 7F 22 55 39 00 B2 B0 CD 30 42 44 29 81 08 AF 59 00 25 46 4F 77 F0 2C 31 7C BF 75 74 69 7A 14 79 11 E8 5B 30 00 25 46 4F 77 F0 2C 31 7C BF 75 74 69 7A 14 79 11 44 1C 7F 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 44 FE 77 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 D8 FB 77 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 EC DA 01 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 E0 E3 37 00 25 46 4F 77 F0 2C 31 7C BF 75 74 69 7A 14 79 11 B8 29 2F 00 25 46 4F 77 F0 2C 31 7C BF 75 74 69 7A 14 79 11 C8 D5 3C 00 25 46 4F 77 F0 2C 31 7C BF 75 74 69 7A 14 79 11 2C D2 3C 00 25 46 4F 77 F0 2C 31 7C BF 75 74 69 7A 14 79 11 58 AD 44 00 2D CA B7 8C EA 20 38 3E 84 A9 CF 58 05 F2 2B 11 38 94 00 00 2D CA B7 8C EA 20 38 3E 84 A9 CF 58 05 F2 2B 11 04 9C 00 00 2D CA B7 8C EA 20 38 3E 84 A9 CF 58 05 F2 2B 11 DC 14 01 00 2D CA B7 8C EA 20 38 3E 84 A9 CF 58 05 F2 2B 11 54 70 02 00 25 46 4F 77 F0 2C 31 7C BF 75 74 69 7A 14 79 11 44 D0 67 00 25 46 4F 77 F0 2C 31 7C BF 75 74 69 7A 14 79 11 58 AD 44 00 2D CA B7 8C EA 20 38 3E 84 A9 CF 58 05 F2 2B 11 38 94 00 00 2D CA B7 8C EA 20 38 3E 84 A9 CF 58 05 F2 2B 11 04 9C 00 00 2D CA B7 8C EA 20 38 3E 84 A9 CF 58 05 F2 2B 11 DC 14 01 00 2D CA B7 8C EA 20 38 3E 84 A9 CF 58 05 F2 2B 11 54 70 02 00 25 46 4F 77 F0 2C 31 7C BF 75 74 69 7A 14 79 11 94 0E 46 00 25 46 4F 77 F0 2C 31 7C BF 75 74 69 7A 14 79 11 BC FF 10 00 25 46 4F 77 F0 2C 31 7C BF 75 74 69 7A 14 79 11 58 F2 10 00 25 46 4F 77 F0 2C 31 7C BF 75 74 69 7A 14 79 11 64 E7 12 00 2D CA B7 8C EA 20 38 3E 84 A9 CF 58 05 F2 2B 11 38 94 00 00 2D CA B7 8C EA 20 38 3E 84 A9 CF 58 05 F2 2B 11 04 9C 00 00 2D CA B7 8C EA 20 38 3E 84 A9 CF 58 05 F2 2B 11 B4 70 01 00 25 46 4F 77 F0 2C 31 7C BF 75 74 69 7A 14 79 11 18 21 87 00 25 46 4F 77 F0 2C 31 7C BF 75 74 69 7A 14 79 11 34 90 86 00 25 46 4F 77 F0 2C 31 7C BF 75 74 69 7A 14 79 11 14 8E 86 00 25 46 4F 77 F0 2C 31 7C BF 75 74 69 7A 14 79 11 D8 69 86 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 28 01 7F 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 D8 4E D7 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 10 4F D7 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 E0 35 3D 01 33 3D 6E 97 C9 FE 38 FE 9F DE 18 22 BA 7A A7 7B A0 F9 1A 00 33 3D 6E 97 C9 FE 38 FE 9F DE 18 22 BA 7A A7 7B 70 AA 1B 00 33 3D 6E 97 C9 FE 38 FE 9F DE 18 22 BA 7A A7 7B 30 8A 0E 00 33 3D 6E 97 C9 FE 38 FE 9F DE 18 22 BA 7A A7 7B 84 76 11 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 A8 79 E7 00 16 31 B8 D4 4C 02 35 C3 83 72 30 DB CE 4C 86 A9 E0 2F 09 00 16 31 B8 D4 4C 02 35 C3 83 72 30 DB CE 4C 86 A9 44 27 09 00 16 31 B8 D4 4C 02 35 C3 83 72 30 DB CE 4C 86 A9 FC D2 08 00 16 31 B8 D4 4C 02 35 C3 83 72 30 DB CE 4C 86 A9 98 CB 08 00 A7 4F 51 A4 6C CE 30 B3 A5 91 5B E1 9C 8A F7 40 00 2D 00 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 B8 EB E5 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 84 2F E6 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 6C A6 85 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 A0 A3 85 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 C4 5D 5E 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 A4 33 02 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 50 34 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00'
2025-08-01 14:19:49.189592+0530  localhost NimbleEdgeAssistant[58564]: (RunningBoardServices) Created Activity ID: 0x68ee5f, Description: didChangeInheritances
2025-08-01 14:19:49.297165+0530  localhost NimbleEdgeAssistant[58564]: (RunningBoardServices) Created Activity ID: 0x68f030, Description: didChangeInheritances
2025-08-01 14:19:50.205716+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.KeyboardArbiter:Client] TX focusApplication (peekAppEvent) stealKB:Y scene:ai.delite.NimbleEdgeAssistant-default
2025-08-01 14:19:50.206188+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:EventDispatch] Evaluating dispatch of UIEvent: 0x600003b24000; type: 0; subtype: 0; backing type: 11; shouldSend: 1; ignoreInteractionEvents: 0, systemGestureStateChange: 0
2025-08-01 14:19:50.206308+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:EventDispatch] Sending UIEvent type: 0; subtype: 0; to windows: 1
2025-08-01 14:19:50.206392+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:EventDispatch] Sending UIEvent type: 0; subtype: 0; to window: <UIWindow: 0x10560ce70>; contextId: 0xC910D610
2025-08-01 14:19:50.223757+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) Created Activity ID: 0x68f031, Description: send gesture actions
2025-08-01 14:19:50.252580+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:EventDispatch] Evaluating dispatch of UIEvent: 0x600003b24000; type: 0; subtype: 0; backing type: 11; shouldSend: 1; ignoreInteractionEvents: 0, systemGestureStateChange: 0
2025-08-01 14:19:50.252675+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:EventDispatch] Sending UIEvent type: 0; subtype: 0; to windows: 1
2025-08-01 14:19:50.252710+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:EventDispatch] Sending UIEvent type: 0; subtype: 0; to window: <UIWindow: 0x10560ce70>; contextId: 0xC910D610
2025-08-01 14:19:50.252907+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) Created Activity ID: 0x68f032, Description: send gesture actions
2025-08-01 14:19:50.269137+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:EventDispatch] Evaluating dispatch of UIEvent: 0x600003b24000; type: 0; subtype: 0; backing type: 11; shouldSend: 1; ignoreInteractionEvents: 0, systemGestureStateChange: 0
2025-08-01 14:19:50.269193+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:EventDispatch] Sending UIEvent type: 0; subtype: 0; to windows: 1
2025-08-01 14:19:50.269224+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:EventDispatch] Sending UIEvent type: 0; subtype: 0; to window: <UIWindow: 0x10560ce70>; contextId: 0xC910D610
2025-08-01 14:19:50.269396+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) Created Activity ID: 0x68f033, Description: send gesture actions
2025-08-01 14:19:50.269609+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:EventDispatch] Evaluating dispatch of UIEvent: 0x600003b24000; type: 0; subtype: 0; backing type: 11; shouldSend: 0; ignoreInteractionEvents: 0, systemGestureStateChange: 1
2025-08-01 14:19:50.270605+0530  localhost NimbleEdgeAssistant[58564]: (libxpc.dylib) [com.apple.xpc:connection] [0x105627bf0] activating connection: mach=true listener=false peer=false name=com.apple.lsd.advertisingidentifiers
2025-08-01 14:19:50.273769+0530  localhost NimbleEdgeAssistant[58564]: (libsystem_trace.dylib) Created Activity ID: 0x68f034, Description: Activity for state dumps
2025-08-01 14:19:50.273763+0530  localhost NimbleEdgeAssistant[58564]: (libRPAC.dylib) [com.apple.runtime-issues:Slow Launch Risk] __delegate_identifier__:Performance Diagnostics__:::____message__:{"message":"Performing I/O on the main thread can cause slow launches.","antipattern trigger":"dlopen","message type":"suppressable","issue type":4,"category type":17,"subcategory type":3,"show in console":"0"}'43 4F 05 19 F8 A9 37 F9 BD 89 64 37 63 35 13 32 08 12 0A 00 43 4F 05 19 F8 A9 37 F9 BD 89 64 37 63 35 13 32 CC EF 09 00 43 4F 05 19 F8 A9 37 F9 BD 89 64 37 63 35 13 32 B8 EB 09 00 4C 03 83 BC BE BA 3A 34 AB D3 AC 10 21 F9 69 04 98 D7 01 00 4C 03 83 BC BE BA 3A 34 AB D3 AC 10 21 F9 69 04 00 6D 00 00 43 4F 05 19 F8 A9 37 F9 BD 89 64 37 63 35 13 32 9C EB 09 00 43 4F 05 19 F8 A9 37 F9 BD 89 64 37 63 35 13 32 38 9B 0C 00 43 4F 05 19 F8 A9 37 F9 BD 89 64 37 63 35 13 32 10 A4 0C 00 43 4F 05 19 F8 A9 37 F9 BD 89 64 37 63 35 13 32 C8 A8 0C 00 43 4F 05 19 F8 A9 37 F9 BD 89 64 37 63 35 13 32 64 AA 0C 00 43 4F 05 19 F8 A9 37 F9 BD 89 64 37 63 35 13 32 58 B2 03 00 43 4F 05 19 F8 A9 37 F9 BD 89 64 37 63 35 13 32 E4 05 0D 00 43 4F 05 19 F8 A9 37 F9 BD 89 64 37 63 35 13 32 78 B1 03 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 80 E1 A2 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 B4 FF 01 00 FB 70 87 D5 C0 ED 38 4D B6 3A C4 1E 70 D0 08 F0 88 E9 03 00 FB 70 87 D5 C0 ED 38 4D B6 3A C4 1E 70 D0 08 F0 28 FC 03 00 4C 03 83 BC BE BA 3A 34 AB D3 AC 10 21 F9 69 04 BC 32 01 00 4C 03 83 BC BE BA 3A 34 AB D3 AC 10 21 F9 69 04 34 2F 01 00 16 31 B8 D4 4C 02 35 C3 83 72 30 DB CE 4C 86 A9 48 2D 09 00 16 31 B8 D4 4C 02 35 C3 83 72 30 DB CE 4C 86 A9 54 D7 08 00 16 31 B8 D4 4C 02 35 C3 83 72 30 DB CE 4C 86 A9 98 CB 08 00 A7 4F 51 A4 6C CE 30 B3 A5 91 5B E1 9C 8A F7 40 00 2D 00 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 B8 EB E5 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 84 2F E6 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 6C A6 85 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 A0 A3 85 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 C4 5D 5E 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 A4 33 02 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 50 34 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00'
2025-08-01 14:19:50.274888+0530  localhost NimbleEdgeAssistant[58564]: (NimbleEdgeAssistant.debug.dylib) init called  detected!
2025-08-01 14:19:50.276667+0530  localhost NimbleEdgeAssistant[58564]: (Security) Created Activity ID: 0x68f035, Description: SecItemCopyMatching_ios
2025-08-01 14:19:50.276726+0530  localhost NimbleEdgeAssistant[58564]: (Security) [com.apple.securityd:secitemratelimit] Not internal release, disabling SIRL
2025-08-01 14:19:50.277048+0530  localhost NimbleEdgeAssistant[58564]: (Security) [com.apple.securityd:thread-local-client-debug] SecSecurityClientGet new thread!
2025-08-01 14:19:50.277304+0530  localhost NimbleEdgeAssistant[58564]: (Security) [com.apple.securityd:keychain] System Keychain Always Supported set via feature flag to disabled
2025-08-01 14:19:50.277320+0530  localhost NimbleEdgeAssistant[58564]: (libxpc.dylib) [com.apple.xpc:connection] [0x600003d0c960] activating connection: mach=true listener=false peer=false name=com.apple.securityd
2025-08-01 14:19:50.278411+0530  localhost NimbleEdgeAssistant[58564]: (Network) [com.apple.network:] networkd_settings_read_from_file initialized networkd settings by reading plist directly
2025-08-01 14:19:50.278508+0530  localhost NimbleEdgeAssistant[58564]: (Network) [com.apple.network:] networkd_settings_read_from_file initialized networkd settings by reading plist directly
2025-08-01 14:19:50.278749+0530  localhost NimbleEdgeAssistant[58564]: (Network) [com.apple.network:path] nw_path_evaluator_start [F997AEFE-282B-4D68-974A-7F62F557FEC4 <NULL> generic, multipath service: 1, attribution: developer]
path: satisfied (Path is satisfied), interface: en0[802.11], uses wifi
2025-08-01 14:19:50.278767+0530  localhost NimbleEdgeAssistant[58564]: (Network) [com.apple.network:path] nw_path_evaluator_call_update_handler [F997AEFE-282B-4D68-974A-7F62F557FEC4] not delivering update, path=0x105628be0, update_block=0x600000c2ff30, client_queue=0x0
2025-08-01 14:19:50.280365+0530  localhost NimbleEdgeAssistant[58564]: (libsystem_trace.dylib) Created Activity ID: 0x68f036, Description: Activity for state dumps
2025-08-01 14:19:50.280360+0530  localhost NimbleEdgeAssistant[58564]: (libRPAC.dylib) [com.apple.runtime-issues:Hang Risk] __delegate_identifier__:Performance Diagnostics__:::____message__:{"message":"Performing I/O on the main thread can cause hangs.","antipattern trigger":"-[NSFileManager createDirectoryAtURL:withIntermediateDirectories:attributes:error:]","message type":"suppressable","issue type":1,"category type":17,"subcategory type":3,"show in console":"0"}'BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 98 17 25 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 E8 68 26 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 78 06 02 00 FB 70 87 D5 C0 ED 38 4D B6 3A C4 1E 70 D0 08 F0 88 E9 03 00 FB 70 87 D5 C0 ED 38 4D B6 3A C4 1E 70 D0 08 F0 28 FC 03 00 4C 03 83 BC BE BA 3A 34 AB D3 AC 10 21 F9 69 04 BC 32 01 00 4C 03 83 BC BE BA 3A 34 AB D3 AC 10 21 F9 69 04 34 2F 01 00 16 31 B8 D4 4C 02 35 C3 83 72 30 DB CE 4C 86 A9 48 2D 09 00 16 31 B8 D4 4C 02 35 C3 83 72 30 DB CE 4C 86 A9 54 D7 08 00 16 31 B8 D4 4C 02 35 C3 83 72 30 DB CE 4C 86 A9 98 CB 08 00 A7 4F 51 A4 6C CE 30 B3 A5 91 5B E1 9C 8A F7 40 00 2D 00 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 B8 EB E5 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 84 2F E6 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 6C A6 85 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 A0 A3 85 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 C4 5D 5E 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 A4 33 02 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 50 34 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00'
2025-08-01 14:19:50.283322+0530  localhost NimbleEdgeAssistant[58564]: (libsystem_trace.dylib) Created Activity ID: 0x68f037, Description: Activity for state dumps
2025-08-01 14:19:50.283317+0530  localhost NimbleEdgeAssistant[58564]: (libRPAC.dylib) [com.apple.runtime-issues:Slow Launch Risk] __delegate_identifier__:Performance Diagnostics__:::____message__:{"message":"Performing I/O on the main thread can cause slow launches.","antipattern trigger":"-[NSFileManager createDirectoryAtURL:withIntermediateDirectories:attributes:error:]","message type":"suppressable","issue type":4,"category type":17,"subcategory type":3,"show in console":"0"}'BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 98 17 25 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 E8 68 26 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 78 06 02 00 FB 70 87 D5 C0 ED 38 4D B6 3A C4 1E 70 D0 08 F0 88 E9 03 00 FB 70 87 D5 C0 ED 38 4D B6 3A C4 1E 70 D0 08 F0 28 FC 03 00 4C 03 83 BC BE BA 3A 34 AB D3 AC 10 21 F9 69 04 BC 32 01 00 4C 03 83 BC BE BA 3A 34 AB D3 AC 10 21 F9 69 04 34 2F 01 00 16 31 B8 D4 4C 02 35 C3 83 72 30 DB CE 4C 86 A9 48 2D 09 00 16 31 B8 D4 4C 02 35 C3 83 72 30 DB CE 4C 86 A9 54 D7 08 00 16 31 B8 D4 4C 02 35 C3 83 72 30 DB CE 4C 86 A9 98 CB 08 00 A7 4F 51 A4 6C CE 30 B3 A5 91 5B E1 9C 8A F7 40 00 2D 00 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 B8 EB E5 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 84 2F E6 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 6C A6 85 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 A0 A3 85 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 C4 5D 5E 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 A4 33 02 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 50 34 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00'
2025-08-01 14:19:50.286568+0530  localhost NimbleEdgeAssistant[58564]: (libsystem_trace.dylib) Created Activity ID: 0x68f038, Description: Activity for state dumps
